Altura,Latitud,Longitud
673,-89.5101287722,-0.0306924795688
672,-89.5109300142,-0.0320973363857
671,-89.5117312506,-0.0335015891721
670,-89.5125324816,-0.0349052379341
669,-89.5133337071,-0.0363082826776
668,-89.5141349272,-0.0377107234086
667,-89.5149361418,-0.0391125601332
666,-89.515737351,-0.0405137928573
665,-89.5165385547,-0.0419144215869
664,-89.5173397531,-0.0433144463281
663,-89.5181409461,-0.0447138670867
662,-89.5189421337,-0.0461126838688
661,-89.519743316,-0.0475108966803
660,-89.520544493,-0.0489085055272
659,-89.5213456647,-0.0503055104156
658,-89.522146831,-0.0517019113512
657,-89.5229479921,-0.0530977083401
656,-89.523749148,-0.0544929013883
655,-89.5245502986,-0.0558874905017
654,-89.5253514439,-0.0572814756861
653,-89.5261525841,-0.0586748569476
652,-89.5269537191,-0.0600676342921
651,-89.5277548489,-0.0614598077253
650,-89.5285559736,-0.0628513772534
649,-89.5293570931,-0.0642423428821
648,-89.5301582076,-0.0656327046174
647,-89.5309593169,-0.067022462465
646,-89.5317604212,-0.0684116164309
645,-89.5325615204,-0.069800166521
644,-89.5333626146,-0.071188112741
643,-89.5341637038,-0.0725754550967
642,-89.5349647879,-0.073962193594
641,-89.5357658672,-0.0753483282388
640,-89.5365669415,-0.0767338590366
639,-89.5373680108,-0.0781187859935
638,-89.5381690753,-0.0795031091149
637,-89.5389701349,-0.0808868284068
636,-89.5397711896,-0.0822699438749
635,-89.5405722395,-0.0836524555247
634,-89.5413732846,-0.085034363362
633,-89.542174325,-0.0864156673925
632,-89.5429753606,-0.0877963676218
631,-89.5437763914,-0.0891764640555
630,-89.5445774176,-0.0905559566991
629,-89.5453784391,-0.0919348455583
628,-89.546179456,-0.0933131306385
627,-89.5469804683,-0.0946908119454
626,-89.547781476,-0.0960678894843
625,-89.5485824791,-0.0974443632607
624,-89.5493834778,-0.09882023328
623,-89.550184472,-0.100195499548
622,-89.5509854617,-0.101570162069
621,-89.551786447,-0.102944220849
620,-89.552587428,-0.104317675894
619,-89.5533884047,-0.105690527208
618,-89.554189377,-0.107062774797
617,-89.5549903451,-0.108434418665
616,-89.555791309,-0.109805458819
615,-89.5565922688,-0.111175895262
614,-89.5573932244,-0.112545728001
613,-89.5581941759,-0.11391495704
612,-89.5589951235,-0.115283582383
611,-89.559796067,-0.116651604037
610,-89.5605970067,-0.118019022005
609,-89.5613979424,-0.119385836292
